t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh,SBO,SBO_CG,DEN,EPOT,PSI6
0.13,0.948886434,0.683635076,0.389687177,0.896380281,0.877804882,0.8405001,-0.036811449,0.026776433,-0.066068656,0.018079685,-0.0133727
1.3,0.738282665,0.845182394,0.79499824,0.672311212,0.872317173,0.836320988,-0.022438463,0.062080827,-0.096339213,0.079765322,-0.029586146
13,0.733222439,0.899058101,0.765554856,0.681127299,0.91456371,0.821919208,-0.011014043,0.074684277,-0.11372405,0.135125983,-0.033734025
130,0.695069657,0.826460883,0.725234342,0.712723298,0.85787927,0.791175,0.013426235,0.086434381,-0.130651619,0.23400314,-0.051554296
412,0.729891492,0.802503029,0.739841169,0.757744238,0.840341532,0.805622166,0.031430758,0.10036394,-0.149171038,0.313608135,-0.073306542
1300,0.74163177,0.800586958,0.769523999,0.798022338,0.834962111,0.82372532,0.051485279,0.1273095,-0.187331619,0.408742974,-0.102917893
4120,0.755103523,0.779185505,0.768095818,0.814553884,0.817995011,0.818221057,0.068221174,0.171525911,-0.246045042,0.506871454,-0.144773416
13000,0.690591251,0.69106812,0.699908351,0.789155487,0.747093244,0.7513965,0.079008229,0.220993048,-0.304531551,0.58925343,-0.191469115
41200,0.498961135,0.503033757,0.53591871,0.708257546,0.55746664,0.560586486,0.063193625,0.201521418,-0.259861148,0.559236478,-0.180059749
130000,0.197265288,0.26173812,0.36028781,0.625651837,0.296619557,0.300230489,0.029161446,0.098518089,-0.122358742,0.392467064,-0.091123572
