t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.104,0.951687682,0.670427932,0.18836134,0.913545412,0.892426486,0.885308012
0.33,0.926966207,0.514077561,0.46387725,0.774464116,0.690210895,0.694759514
0.99,0.788286456,0.591013449,0.636503586,0.710317519,0.710507666,0.755122134
1.65,0.737110511,0.630059815,0.668062345,0.698758469,0.733187922,0.776018166
5.2,0.738408653,0.70478955,0.676948213,0.712410427,0.777372505,0.785886112
16.5,0.713355082,0.72932375,0.675271082,0.729576557,0.784262307,0.777798708
52,0.668233684,0.6940031,0.641039101,0.715050363,0.747477631,0.744955053
165,0.517352996,0.554280235,0.492976755,0.610330071,0.602718068,0.606519896
520,0.353362974,0.378121342,0.188896381,0.472961805,0.404606847,0.409474914
1650,0.210918264,0.224220507,0.148761239,0.370847759,0.242757668,0.244001699
