t,BOTAN,CAGE,GlassMLP,SE(3)-GNN,EIGNN_Cage,EIGNN_Inh
0.13,0.948864747,0.683743205,0.391943113,0.896488848,0.87768008,0.84038528
1.3,0.738743309,0.847425499,0.796158807,0.672361828,0.87223334,0.83612315
13,0.733754034,0.900595885,0.768065832,0.680889808,0.91529884,0.82251641
130,0.696705744,0.826242264,0.725418572,0.708326316,0.85842087,0.79024949
412,0.734124064,0.801563404,0.737411269,0.748960046,0.83917216,0.80239243
1300,0.748377529,0.801413473,0.761304666,0.785368519,0.83361089,0.82047086
4120,0.752258653,0.781583947,0.75557921,0.791376985,0.81725373,0.81712352
13000,0.690713494,0.705544629,0.677176666,0.731471011,0.75311521,0.75557311
41200,0.513507682,0.533112335,0.469090684,0.557897861,0.58854066,0.59108391
130000,0.255134184,0.234236702,0.047807202,0.25951006,0.3056925,0.30775662
