t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.104,0.951662294,0.6704603,0.191779984,0.91354048,0.89231453,0.88516265
0.33,0.926909773,0.514752087,0.467390841,0.77442418,0.68957246,0.6940443
0.99,0.788305055,0.592753523,0.64185701,0.710363618,0.7091511,0.75488425
1.65,0.737639476,0.631688355,0.672225636,0.698745778,0.73176094,0.77595702
5.2,0.738407019,0.704182118,0.677904089,0.710906426,0.77500711,0.78441489
16.5,0.716589361,0.726247754,0.670347105,0.724226168,0.77983504,0.77325691
52,0.677240962,0.688628279,0.628709995,0.698657239,0.73848595,0.73337234
165,0.534941025,0.547155925,0.472625532,0.56272181,0.58760195,0.5863558
520,0.363827077,0.368634344,0.153667477,0.374350078,0.39208739,0.39381198
1650,0.219843326,0.203874168,0.017674274,0.211826759,0.22946393,0.23257392
